Gene	ID	Tumor	Normal	log2FC	Qvalue					
A1CF	ENSG00000148584.14	5.000	0.610	1.898	9.26e-20
A2M	ENSG00000175899.14	58.659	139.207	-1.233	2.43e-37
A2M-AS1	ENSG00000245105.2	0.220	1.840	-1.219	9.27e-79
A4GALT	ENSG00000128274.15	4.720	19.631	-1.851	2.24e-50
AASS	ENSG00000008311.14	1.090	9.550	-2.336	1.18e-96
AATK	ENSG00000181409.11	1.920	7.360	-1.518	4.57e-47
ABCA1	ENSG00000165029.15	2.290	8.540	-1.536	1.84e-77
ABCA10	ENSG00000154263.17	0.330	4.670	-2.092	2.43e-109
ABCA3	ENSG00000167972.13	1.250	6.030	-1.644	8.19e-30
ABCA5	ENSG00000154265.15	4.890	13.690	-1.319	1.82e-75
ABCA6	ENSG00000154262.12	0.260	8.490	-2.913	3.10e-141
ABCA8	ENSG00000141338.13	0.220	16.930	-3.877	6.27e-225
ABCA9	ENSG00000154258.16	0.100	6.550	-2.779	4.02e-135
ABCC3	ENSG00000108846.15	45.509	15.320	1.511	2.48e-13
ABCC5	ENSG00000114770.16	8.760	19.840	-1.094	2.35e-54
ABCC6	ENSG00000091262.14	6.060	2.480	1.021	6.47e-18
ABCC8	ENSG00000006071.11	0.210	2.210	-1.408	8.30e-109
ABCC9	ENSG00000069431.10	0.430	3.970	-1.797	1.16e-55
ABCE1	ENSG00000164163.10	33.700	13.150	1.294	5.78e-124
ABHD11	ENSG00000106077.18	85.709	19.340	2.092	4.88e-58
ABHD11-AS1	ENSG00000225969.1	12.250	1.840	2.222	3.12e-18
ABHD17C	ENSG00000136379.11	55.329	6.650	2.880	1.51e-60
ABHD2	ENSG00000140526.16	32.130	11.070	1.457	3.38e-84
ABHD8	ENSG00000127220.5	2.310	9.500	-1.666	1.10e-84
ABI3BP	ENSG00000154175.16	1.800	25.090	-3.220	7.24e-115
ABL1	ENSG00000097007.17	27.380	59.482	-1.092	6.68e-47
ABLIM2	ENSG00000163995.18	10.210	4.580	1.006	7.47e-59
ABLIM3	ENSG00000173210.19	1.680	7.850	-1.723	5.31e-58
ABO	ENSG00000175164.13	10.080	3.920	1.171	6.54e-5
ABRACL	ENSG00000146386.7	91.309	18.350	2.254	3.36e-68
ABTB1	ENSG00000114626.17	15.170	43.191	-1.450	1.60e-56
AC000089.3	ENSG00000235776.2	4.040	0.350	1.900	1.18e-175
AC002116.8	ENSG00000248101.2	0.310	2.150	-1.266	6.66e-71
AC002398.12	ENSG00000267328.1	0.290	11.340	-3.258	1.92e-60
